
      S            S2_2    
   0.0000      -67.422     
  0.80000E-002 -86.244     
  0.16000E-001 -45.479     
  0.24000E-001 -4.9978     
  0.32000E-001  35.104     
  0.40000E-001  74.837     
  0.48000E-001  114.15     
  0.56000E-001  115.01     
  0.64000E-001  43.312     
  0.72000E-001  52.321     
  0.80000E-001  61.115     
  0.88000E-001  69.561     
  0.96000E-001  77.492     
  0.10400       84.870     
  0.11200       91.627     
  0.12000       97.678     
  0.12800       83.915     
  0.13600       33.221     
  0.14400      -15.531     
  0.15200      -61.836     
  0.16000      -105.57     
  0.16800      -146.76     
  0.17600      -185.47     
  0.18400      -221.83     
  0.19200      -255.17     
  0.20000      -285.69     
  0.20800      -314.20     
  0.21600      -340.07     
  0.22400      -363.05     
  0.23200      -384.63     
  0.24000      -402.85     
  0.24800      -419.55     
  0.25600      -433.99     
  0.26400      -446.28     
  0.27200      -457.07     
  0.28000      -465.45     
  0.28800      -472.68     
  0.29600      -477.68     
  0.30400      -481.51     
  0.31200      -483.64     
  0.32000      -484.24     
  0.32800      -484.00     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            S2_2    
  0.33600      -481.58     
  0.34400      -479.15     
  0.35200      -474.23     
  0.36000      -469.04     
  0.36800      -462.86     
  0.37600      -455.19     
  0.38400      -447.52     
  0.39200      -438.12     
  0.40000      -428.19     
  0.40800      -418.26     
  0.41600      -406.47     
  0.42400      -394.64     
  0.43200      -382.74     
  0.44000      -369.27     
  0.44800      -355.79     
  0.45600      -342.32     
  0.46400      -327.58     
  0.47200      -312.77     
  0.48000      -297.96     
  0.48800      -282.48     
  0.49600      -266.68     
  0.50400      -250.89     
  0.51200      -234.93     
  0.52000      -218.41     
  0.52800      -201.89     
  0.53600      -185.37     
  0.54400      -168.63     
  0.55200      -151.73     
  0.56000      -134.83     
  0.56800      -117.93     
  0.57600      -100.95     
  0.58400      -83.938     
  0.59200      -66.926     
  0.60000      -49.915     
  0.60800      -32.986     
  0.61600      -16.095     
  0.62400      0.79597     
  0.63200       17.687     
  0.64000       34.364     
  0.64800       50.736     
  0.65600       67.109     
  0.66400       83.481     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            S2_2    
  0.67200       99.852     
  0.68000       115.79     
  0.68800       131.69     
  0.69600       147.58     
  0.70400       163.46     
  0.71200       179.11     
  0.72000       189.35     
  0.72800       193.30     
  0.73600       197.14     
  0.74400       200.96     
  0.75200       204.75     
  0.76000       208.29     
  0.76800       211.83     
  0.77600       215.37     
  0.78400       218.91     
  0.79200       222.45     
  0.80000       225.18     
  0.80800       227.76     
  0.81600       230.33     
  0.82400       232.90     
  0.83200       235.48     
  0.84000       237.50     
  0.84800       237.81     
  0.85600       238.12     
  0.86400       238.43     
  0.87200       238.74     
  0.88000       239.05     
  0.88800       238.35     
  0.89600       235.79     
  0.90400       233.20     
  0.91200       224.04     
  0.92000       213.67     
  0.92800       203.29     
  0.93600       193.41     
  0.94400       186.79     
  0.95200       180.16     
  0.96000       173.54     
  0.96800       166.91     
  0.97600       160.29     
  0.98400       153.66     
  0.99200       148.24     
   1.0000       143.72     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            S2_2    
   1.0080       139.20     
   1.0160       134.68     
   1.0240       130.16     
   1.0320       125.64     
   1.0400       121.12     
   1.0480       117.46     
   1.0560       114.25     
   1.0640       111.05     
   1.0720       107.84     
   1.0800       104.64     
   1.0880       101.44     
   1.0960       98.230     
   1.1040       95.321     
   1.1120       92.963     
   1.1200       90.606     
   1.1280       88.248     
   1.1360       85.890     
   1.1440       83.533     
   1.1520       81.175     
   1.1600       78.817     
   1.1680       76.832     
   1.1760       75.050     
   1.1840       73.268     
   1.1920       71.487     
   1.2000       69.705     
   1.2080       67.924     
   1.2160       66.142     
   1.2240       64.361     
   1.2320       62.790     
   1.2400       61.416     
   1.2480       60.041     
   1.2560       59.135     
   1.2640       58.343     
   1.2720       57.551     
   1.2800       56.759     
   1.2880       55.967     
   1.2960       55.175     
   1.3040       54.538     
   1.3120       53.910     
   1.3200       53.282     
   1.3280       52.654     
   1.3360       52.026     
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            S2_2    
   1.3440       51.398     
   1.3520       50.770     
   1.3600       50.142     
   1.3680       49.514     
   1.3760       49.003     
   1.3840       48.506     
   1.3920       48.009     
   1.4000       47.512     
   1.4080       47.015     
   1.4160       46.518     
   1.4240       46.021     
   1.4320       45.524     
   1.4400       45.027     
   1.4480       44.568     
   1.4560       44.178     
   1.4640       43.788     
   1.4720       43.398     
   1.4800       43.008     
   1.4880       42.618     
   1.4960       42.228     
   1.5040       41.838     
   1.5120       41.448     
   1.5200       41.058     
   1.5280       40.694     
   1.5360       40.393     
   1.5440       40.092     
   1.5520       39.792     
